Offspring ID,Loci typed,Candidate mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
OtsAC19SFMK_0003,11,OtsAC14MCKR_0035,9,9,3, 4.51553187515062E-0001, 0.00000000000000E+0000,,OtsAC13SFMK_4697,11,11,2, 6.43583039227830E+0000, 0.00000000000000E+0000,,11,5, 6.16197168487728E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15SFMK_0048,11,11,3,-1.20881526739762E+0000, 0.00000000000000E+0000,,11,6, 6.12130395518607E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC14SFMK_0039,11,11,5,-9.05284017012908E+0000, 0.00000000000000E+0000,,11,6, 6.03814571127627E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC15MCKR_0732,11,11,5,-6.84669550444474E+0000, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,6, 5.96339250833175E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC16SFMK_1336,11,11,4,-4.85033514059452E+0000, 0.00000000000000E+0000,,11,6, 5.87450079694560E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4570,11,11,3, 1.11025277326071E+0000, 0.00000000000000E+0000,,11,6, 5.86515606160158E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC15MCKR_0459,11,11,6,-1.09474503414529E+0001, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,6, 5.83201664661996E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4674,11,11,4,-6.22144792738490E+0000, 0.00000000000000E+0000,,11,6, 5.71519153465134E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15SFMK_0080,11,11,6,-1.24194416067345E+0001, 0.00000000000000E+0000,,11,6, 5.69600114199653E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC14SFMK_0167,11,11,5,-1.00507013514141E+0001, 0.00000000000000E+0000,,11,6, 5.61883942333048E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0224,9,9,5,-1.10136348195407E+0001, 0.00000000000000E+0000,,OtsAC14MCKR_0202,11,11,0, 1.61756966602685E+0001, 9.73986626799016E+0000,*,11,5, 5.58443104374660E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC13SFMK_4842,11,11,6,-1.36943794926493E+0001, 0.00000000000000E+0000,,11,6, 5.54652440014602E+0000, 0.00000000000000E+0000,,
OtsAC19SFMK_0003,11,OtsAC14MCKR_0234,11,11,0, 2.02685954441032E+0001, 1.73274364789151E+0001,*,OtsAC15MCKR_0724,11,11,6,-1.39685035366704E+0001, 0.00000000000000E+0000,,11,6, 5.54196737975690E+0000, 0.00000000000000E+0000,,
